f_blood,f_fat,f_water,f_mel,f_col,SO2,total_ratio,count
0.017631614660120476,0.0,0.6919925143146877,0.010190552868059258,0.11279610715694127,0.7094970263149054,0.8326107889998087,1.0
0.028292195321462182,0.0,0.6728290185280688,0.008725770338439501,0.18083634775583768,0.7179667428007765,0.8906833319438081,2.0
0.03109449159702974,0.0,0.7578536377163124,0.010297110506997368,0.1645160430551021,0.6943193459804544,0.9637612828754416,4.0
0.014245127791542649,0.0,0.6739532051542474,0.009860211992667088,0.1951247991042026,0.6517525693640783,0.8931833440426598,5.0
0.010883572723613084,0.0,0.7662160355573614,0.011665434492074432,0.15011820717907243,0.667719166867276,0.9388832499521214,2.0
0.03100908016997129,0.0,0.7470972613264887,0.010570030782754427,0.18613212274018054,0.7082548033778131,0.9748084950193949,1.0
0.024715715023585237,0.0,0.7568084436889051,0.011513631921194931,0.1596228770775454,0.688778959707411,0.9526606677112307,2.0
0.033367648813978745,0.0,0.7486189137657405,0.011200133415660455,0.12190079617399584,0.7044430583019711,0.9150874921693757,2.0
0.0030724718055385263,0.0,0.7277438425848117,0.010789595062752618,0.13502407871759242,0.6715859725623947,0.8766299881706952,1.0
0.02897044304082806,0.0,0.7772469791988043,0.011351705913939643,0.12221514941533473,0.6932685901475265,0.9397842775689067,2.0
0.034798053748055904,0.0,0.7248086486759727,0.008501959252088598,0.10739308878352766,0.7094562482277621,0.875501750459645,2.0
0.011075880045251826,0.0,0.7414947172696126,0.011668323735062814,0.15314005806896308,0.6847845997643058,0.9173789791188902,1.0
0.01791742866686547,0.0,0.7505332521078687,0.010877694789353218,0.15501386722537475,0.7443655728789298,0.9343422427894621,2.0
0.02462364473756542,0.0,0.6793658170879214,0.010507429544603254,0.16261171574330657,0.6531813270471091,0.8771086071133967,3.0
0.03747808247792476,0.0,0.6979961340818557,0.009145744638863149,0.11900774102582581,0.6812738326912772,0.8636277022244694,1.0
0.02931777149911223,0.0,0.697241595275573,0.010648199963753347,0.10270604222926719,0.7381861384301158,0.8399136089677056,5.0
0.008355886445685237,0.0,0.6842375452250055,0.008068628012802007,0.18655816453209179,0.6577922326893582,0.8872202242155844,1.0
0.030262419462430343,0.0,0.7162187469097103,0.008371599648254655,0.18618777897073227,0.7464566343618515,0.9410405449911275,4.0
0.023162492562279063,0.0,0.7144199696222964,0.00909316950582585,0.1785097622796295,0.7327999475215731,0.9251853939700307,3.0
0.038645524967553364,0.0,0.7174793772932013,0.010254664376998473,0.19607791982998973,0.706378737692122,0.9624574864677429,3.0
