f_blood,f_fat,f_water,f_mel,f_col,SO2,total_ratio,count
1.0,0.0,0.0,0.0,0.0,0.9275745125357409,1.0,1.0
1.0,0.0,0.0,0.0,0.0,0.8668206468478081,1.0,1.0
1.0,0.0,0.0,0.0,0.0,0.8274744672102002,1.0,1.0
1.0,0.0,0.0,0.0,0.0,0.8393687602363156,1.0,1.0
1.0,0.0,0.0,0.0,0.0,0.9197719081449647,1.0,1.0
1.0,0.0,0.0,0.0,0.0,0.846113439398781,1.0,1.0
1.0,0.0,0.0,0.0,0.0,0.8209489927394467,1.0,1.0
1.0,0.0,0.0,0.0,0.0,0.8818874560483754,1.0,1.0
1.0,0.0,0.0,0.0,0.0,0.9650048139132763,1.0,1.0
1.0,0.0,0.0,0.0,0.0,0.9333695932335324,1.0,1.0
1.0,0.0,0.0,0.0,0.0,0.8074656555067827,1.0,1.0
1.0,0.0,0.0,0.0,0.0,0.8200695751249024,1.0,1.0
1.0,0.0,0.0,0.0,0.0,0.8014649293251558,1.0,1.0
1.0,0.0,0.0,0.0,0.0,0.9005793701980891,1.0,1.0
1.0,0.0,0.0,0.0,0.0,0.8331811027295862,1.0,1.0
1.0,0.0,0.0,0.0,0.0,0.9078178479622576,1.0,1.0
1.0,0.0,0.0,0.0,0.0,0.9449338248394588,1.0,1.0
1.0,0.0,0.0,0.0,0.0,0.9370867883811227,1.0,1.0
1.0,0.0,0.0,0.0,0.0,0.9997860212683356,1.0,1.0
1.0,0.0,0.0,0.0,0.0,0.9699212029958201,1.0,1.0
